PUBLISHER,IMPRESSIONS,TET
vice,5398,115713.617
univision,30881,98686.741
rollingstone,438026,94156.085
smithsonianmag,90739,81344.483
thestreet,10968,79448.867
bestproducts,36565,78603.402
vh1,697684,77266.947
kargo,2660,75065.777
parents,1512419,70685.689
thedoctorstv,112996,69857.782
kotaku,1967,7060.354
jalopnik,1451,7293.139
askmen,7336682,12054.000
jezebel,43140,12354.744
foxsports,31984,13186.573
refinery29,28274,13197.480
gizmodo,42464,13415.609
deadspin,41595,13472.260
obsev,9367691,13882.327
google,812957,14110.972